,title,review,date,month,year,rating
273,"""lives in their past glory""",an airline that lives in their past glory and heading a future of crisis is british airways. i am not joking we are a family of 7 all in business class heading for a norwegian and arctic cruise and they lost 10 of our bags! they will never see me on any of their flights ever a disaster of an airline,2023-07-26,July,2023,1.0
274,"""Check-in Desk rude and dismissive""","check-in desk rude and dismissive. flight late but seems the new norm. one world emerald, club world check-in. staff uncommunicative, did not know what baggage allowance entitled to, once raised (politely) became argumentative and accusatory.",2023-07-26,July,2023,2.0
275,"""All in all, terrible""","i chose british airways especially because i was going to travel with my niece and nephew, and wanted everything to work well. what a disaster! first, it took me two hours to do the check-in online due to a technical problem. i also had to spend more than 20 minutes in a call to a uk number from my spanish cell phone because that’s the only service they provide on weekends. then, at the airport, when there was the boarding time, we had to wait with the rest of the people for almost two hours standing on the line without knowing what was going on. they just told us to wait. finally we could access the plane. after 40 minutes inside, they told us to leave the plane again and told us the flight had been cancelled. we had to take our luggage and queue again for a couple of hours. then, do the check in again and wait for another flight to take off, which was again delayed! we spent almost 12 hours at the airport. no information was provided, no solutions were offered. we had to seat in the last raw (when i had paid to seat on the first half of the plane). no money was refunded no apologizes or compensation was given. i also had pre-purchased food and they couldn’t provide the service. all in all, terrible. never again!",2023-07-25,July,2023,1.0
276,"""cancelled the rebooked flight""","i booked premium economy from inv to lax (via lhr). they notified me of a cancelled flight on my return journey and rebooked me on a flight that my connecting flight arrived too late for! then they cancelled a flight on my journey to lax! they then cancelled the rebooked flight on the return journey and rebooking me back on the first flight that they had rebooked me on - the flight that i have no chance of making as my return flight arrives too late into lhr. they re-routed me from lax to jfk to lhr - which i would have accepted - but they booked the journey in economy (lax to jfk) which my husband (6'4"" with a knee injury) - cannot do and now they won't change it - even though they have a direct flight from lax to lhr with premium economy and unacceptable flight allows us 54 mins to transfer flights at jfk - and my husband won't be able to walk slowly, let alone quickly, after enduring the 6-hour flight from lax to lhr. i have chatted only to have my calls disconnected and i also have online chat which proves i did not accept this re-routed flight to jfk but they won't budge.",2023-07-24,July,2023,1.0
277,"""Zero empathy was shown""","a simple story with an unfortunate outcome that really could happen to anyone. my partner and i recently started working after studying purchased two tickets to travel from london city airport to frankfurt. when we purchased the tickets, i mistakenly entered my name twice (e.g. mr john smith and ms john smith). little did we know that our 1 simple mistake would cost us over 300 pounds. upon arriving at the airport we were told there was no way to change the name (apparently they can only change 3 letters where there has been a typo?) and i had no other option to purchase the last remaining ticket if i wanted to board the flight - the price: almost seven times (!) higher than my original ticket. zero empathy was shown. zero alternative was offered. trusting ba's staff and under the pretence that there was apparently no other way we could board the flight we bought this ticket. immediately after i purchased the ticket i contacted ba's 'commercial change booking team' and informed them of our situation. the service representative apologised and told me they could have changed the name at the cost of a small fee. he offered to cancel my original ticket and issue me a partial refund then, advising me that i had a claim to the difference and i should contact customer support to do so. i told this person several times i wanted to claim the cost of the new ticket and even asked him explicitly if by accepting this offer, i would be denied from claiming the cost of the new ticket. he said no, i could claim the difference. fair enough - we accepted this offer and lodged a ticket with customer support for the difference. two days later, british airways customer response informed us that we were unable to lodge a claim because we had 'voluntarily accepted the cancellation before the flight'. they've continued to send generic emails until this week, when they just stopped responding. so in short, british airways misled and deceived my partner into accepting a lowball offer to waive our right to claim a refund. it keeps me up at night thinking how they can do this and get away with it so easily.",2023-07-21,July,2023,1.0
278,"""pilot apologise at every step of the way""","flight was delayed due to the inbound flight arriving late. there was no announcement to inform of the delay nor were the sceens updated. when ready to board we were requested to take our seats quickly to help reduce the delay, which people did. the pilot then announced he had received the documents for the wrong flight from ground staff, so we had to wait while they returned to get the right paperwork. after this was resolved, the pilot announced there would be a delay as there was only two push back tractors and we had to wait again. so after rushing to sit quickly, we sat the the aircraft at the gate for nearly one hour, which is longer than the flight takes ! of course ams is not bas home base and it uses contracted staff here, but it should require a better level of service, it was embarrassing hearing the pilot apologise at every step of the way. it’ll be eurostar for me next time.",2023-07-21,July,2023,4.0
279,"""crew were always ready to top up drinks""","fast and friendly check in (total contrast to gatwick). the contract lounge is comfortable and spacious with a bar and pleasant staff but you have to pay for alcohol after the one free glass of wine. food best avoided. on board, great crew and dinner was actually good quality and substantial apart from the ""chocolate and orange pot"" that seems to appear on every flight - have they bought up the global stock? the crew were always ready to top up drinks although white wine and beers were lukewarm. the crew explained that the carts are supposed to be chilled - from experience they rarely are. is dry ice so expensive that ba can't afford it?",2023-07-20,July,2023,8.0
280,"""The service is really mediocre""","i don't understand why british airways is classified as a 4 star airline? the service is really mediocre. the food is untasty and insufficient for a long haul trip. some members of the cabin crew are friendly but they are not attentive enough and create a very basic experience. this really is all about getting from point a to b without what it used to be an enjoyable trip making experience. the inflight entertainment is fairly good, but you do need to bring your own water not to get dehydrated, some snacks and ideally food and perhaps smile to yourself as otherwise you are faced with just a cold, personality less experience.",2023-07-20,July,2023,2.0
281,"""made their economy experience so miserable""","i'm sure that ba have gradually made their economy experience (ba euroflyer out of gatwick) so miserable that passengers are tempted to upgrade to the lacklustre and overpriced business class. long wait at the biz checkin ( due to status ) and dealt with by a bored agent - ok third party, but still representing ba - who hardly spoke and avoided eye contact and was more focussed on her fingernails. lounge was crowded and grubby but at least the staff there are pleasant and helpful on board the seats are cramped and uncomfortable and it took over two hours before crew appeared with food sales and the ""free water"" which on gatwick services consists of a half full plastic cup rather than the luxury of a small bottle.. a fellow passenger mentioned the delay and the fact that they had no sandwiches for sale which prompted the flight attendant to say that the service was much better on easyjet who do two service runs etc.",2023-07-20,July,2023,2.0
282,"""Customer Service does not exist""","customer service does not exist. one world emerald, frequent long haul flyer (including ba) - never seen such poor customer service or “computer says no”. official ba.com site said all morning and afternoon that flight from gatwick, delayed 2 hours. delayed leaving for airport -only for ba to change back to original time. called ba customer service 1.5 hours prior from highway saying situation - told not to worry, would note and flight rebooked if issue but go to airport. got to airport 40 mins prior told could not board and that staff did not work for ba so could not help. back on phone, 3 hours in total to be told could be rebooked, then couldn’t be, round and round. ultimately told to file complaint. then found out flight left 2 hours delayed. paid for extra hotels flights with more competent airlines and now told 38 days wait for complaints to be responded to - heavens help economy and non-status flyers if that’s what the front end of the plane gets!",2023-07-18,July,2023,1.0
283,"""another great experience""","another really great pair of flights, on time, no problems at all, champagne was ok and my meal choices were great, the new club suite is a good improvement over the previous seat, in flight entertainment could have been better, can’t wait to fly with ba again and enjoy another great experience.",2023-07-17,July,2023,9.0
284,"""Not recommended""","our a380 developed a fault taxiing to the runway - we returned to the gate only to then have the flight cancelled about 3 hours later due to a technical fault. all the while, ba staff were virtually non-existent, it was finally the captain who announced the flight was cancelled. ba provided an alternative the next day involving a connection but it was very much take this or else you were on your own. no arrangements or help made with overnight accommodation or transport,  finally managed to get the legal minimum £520 compensation out of ba for the 26 hour delay they caused to my journey, and expenses were reimbursed too, but even this took four weeks. the fact that as a business class customer ba pays the minimum they can get away with says it all - they couldn't care less about customers, have no interest in loyalty and aren't bothered about your business. given its our flights that pay ba's way, i'd suggest to anyone they take their hard earned cash to another airline who might at least care less about their customers. not recommended.",2023-07-17,July,2023,1.0
285,"""5 hours and 30 mins but no meal""",horrible airline. does not care about their customers. used to be decent but has now since really fell off. a flight time of 5 hours and 30 mins but no meal while the flight attendants were having their eggs and sausage in the back? didn't even offer juices. i would stick with another airline.,2023-07-16,July,2023,2.0
286,"""Things have really deteriorated""","my family and i have flown mostly on british airways for the last 30 years. i am a priority passenger and fly often enough to recognise cabin crew and know some by name. they used to be a really good airline to fly with. things have really deteriorated with their face to face customer care since the pandemic. the aircraft look worn. for example, on my flight back my audiovisual equipment did not work and had to be reset twice, finally working in the last hour before we landed. the second time around, i think the reset was done for the whole aircraft. the touch screen function on my screen did not work. the usb charger ports on my seat did not work. the staff were pleasant enough, but their service oozed mediocrity.  there did not seem to be much pride in what they were doing. the food has been the worst part on our ba flights since the pandemic. they gave us a menu, asked what we’d like, did a check and then told us that it was not available as they had run out and would we like to choose something else. they then told us that we’d get first choice at the second service which they couldn’t deliver on. finally after choosing and getting whatever it is that we did, the food was tasteless. we take part in post flight surveys regularly and have stated all of this, to no avail. as a family of 3, we fly british airways medium to long haul regularly, possibly 4-6 times a year each. for us, the good things about flying ba are that we are priority customers, usually have a direct flight to our destinations and get good service on the ground, when checking in and in the lounges when we use them.",2023-07-09,July,2023,4.0
287,"""I will never fly this airline again""","this has been by far the worst service i have had on a plane. it's very obvious that if you are flying economy and not a frequent traveler of british airways, they care very little about you. we had to wait an hour for them to even open the check-in. once they did, they had 5 lines and only one that serviced economy. even though the line for economy was three times the length of the premium classes. then they told economy passengers that all bags had to be check and no carryon due to a full flight and no room in the overhead compartments. once we arrived at the gate, there were not enough seats to fit everyone and you couldn't leave the boarding area. i will never fly this airline again!",2023-07-09,July,2023,2.0
288,"""asked for an explanation but have received none""","in nov 2022 i booked and paid for a return journey to new zealand. on my return journey my final flight was from london to edinburgh. on trying to check in i was told my ticket ‘did not exist’. i showed evidence of my flight being booked and paid for but was denied a ticket. my only option was to buy a ticket for a later flight which cost £265.07. since nov 22, ie, 8 months ago, i have communicated multiple times with ba in an attempt to have my money returned. they have admitted responsibility for their error which cost me £265. i finally received word from them that they have decided to refund me the sum of £32.14. i have asked for an explanation but have received none, only a polite e mail informing me that the decision was checked and was correct. i do not intend to let this matter go. a company worth billions of pounds will not return an honest refund. ps, they also lost my luggage and did nothing to help me retrieve it. i tracked it down myself a week later to edinburgh airport and picked it up myself.",2023-07-08,July,2023,2.0
289,"""short-changing passengers""",ba is not treating its premium economy passengers with respect. you pay for a premium economy service and are then compelled to use the economy toilets at the back of the plane. this is short-changing passengers.,2023-07-06,July,2023,4.0
290,"""Economy is absolutely awful""","24 hours before our departure on ba059 to cape town from heathrow on thursday 29th june, we did an online check-in. seats had already been allocated for my wife and i - 41 e and f - which are the middle two seats of the central block of four. these were totally unsuitable for us as we are in our late 70's and getting in and out of seats to stretch our legs or go the the toilet would mean climbing over a person on the aisle. but there were no other seats available. we got to heathrow about 6 hours before departure and tried to change seats at check-in, to no avail, although the lady was very sympathetic and tried her utmost. she did offer us an upgrade to premium economy but at 450gbp each it was beyond our affordability. she said we should try again at the departure gate but that also failed. we spoke to a member of the flight crew who was totally unsympathetic. the economy seats are so tiny that i was jammed shoulder to shoulder between by wife and a stranger, with knees touching the seat pocket in front. for 12 hours we suffered. when we did manage to get out of our seat due to the kindness of the young lady next to me on the aisle, it was a mission trying to clamber past the reclined backrest in front of me. ba economy is absolutely awful. the evening meal was near-inedible - both choices were spicy foods which are not very suitable when flying, especially for an older person. the breakfast spanish omelette was, however, not bad at all. the previous day we had flown economy from malta to heathrow on malta airlines and that 3 hour trip was a pleasure. the seats are wide and there is ample legroom. if they can do it, then why not british airways.",2023-07-05,July,2023,1.0
291,"""Shocking customer service""","we arrived at heathrow at 0600 to find our flight to ibiza was cancelled by ba with no explanation. as if that wasn’t galling enough, the customer service from ba at the airport was non-existent! there was no explanation, no apology and no assistance in finding an alternative flight. we’ve managed to find another flight from stansted but that isn’t until much later today, thus wasting a chunk of our short trip. i simply don’t understand why ba don’t proactively contact their customers to notify them of a cancellation, and work with them to resolve the problem. shocking customer service!",2023-07-05,July,2023,1.0
292,"""no representative to help""",original flight was cancelled with no explanation. there was no representative to help in rebooking we had to call customer service (long distance call) the line kept dropping had to do 40 + calls to find new booking only to discover the only way i could fly the next day was by paying business class. no help with hotel for the night stay.,2023-07-04,July,2023,3.0
293,"""Boarding was chaotic""","airport check in was functionary with little warmth but some efficiency. flight was delayed with no communication given. boarding was chaotic and no management of the process by ground staff. seats on board are tight and you really feel like they have crammed in every seat possible. there is next to no recline. however i was thankful that there was no recline. if the person in front had even the slightest recline they would be in my face owing to how tight the seats were spaced on this a321 aircraft. no amenities on this flight except for a toilet that was clean but small. no ife, no food and beverage unless you pay extra but the staff were friendly. luggage arrived at the carousel within a very short amount of time.",2023-07-03,July,2023,3.0
294,"""In-line with competitors""",flight fine. in-line with competitors. pleasant crew. only niggle is bussed to and from aircraft at heathrow. it seems like this is standard for the berlin flights. would use again.,2023-07-02,July,2023,10.0
295,"""Luggage are still in Glasgow""",came from glasgow to london and took connecting flight american airlines from london to north carolina. it's my third day here in north carolina and still waiting for my luggage. they didn't even bother to transfer the luggage to connecting flight. luggage are still in glasgow.,2023-06-30,June,2023,1.0
296,"""whole experience was terrible""","my flight on on 12 may 2023 got delayed an hour and 25 minutes which resulted in the cancellation of our connection flight on 12 may 2023 as the arrival of the first flight was only 15 before the departure of the second connecting flight. we contacted the ba call center multiple times to make changes to the flight in order to still arrive on the 12th of may to kef airport through different flights. the team tried to find a solution but none made sense, not even on the next day the 13th of may 2023. we have made full booking of accommodation, car rental, activities etc for the vacation in iceland. the cancellation of of these booking is not refundable. the call center suggested that we cancel the flight for a full refund, then claim compensation for the delay and difference in airfare cost and other non refundable bookings due to the delay and cancellation of our flight. british airways responded to the claim after a month with no compensation at all, even though we paid additional $600 on new bookings and additional charges. the refund of the cancelled flight took more than a month with multiple calla to follow up almost every week. i was promised to get refund on the first call but later i found out it was not processed properly. every-time i call the agent ask questions about why flight was canceled etc which is annoying when my understanding everything was under process for payment. after multiple calls i was refunded partially and not the full amount which is even bizarre from a company of this level. i had to make more calls to get the remaining balance refunded. the whole experience was terrible.",2023-06-29,June,2023,1.0
297,"""preferred to fly on easyJet""","cairo is a 5 hour flight and ba considers it to be short haul, so everyone is crammed in with knees pressed up against the seat in front and nothing in the way of inflight entertainment. not even a magazine - which is now available by wifi that you have to pay for. you have to pay for your seat choice, checked in baggage, food & drink, wifi. not that i have anything against that - i'm used to that on budget airlines - but this is for a premium price ticket. i would have preferred to fly on easyjet where the initial ticket would have been less, and the extras would have been half the price. the ba app and website makes it really difficult to understand the extras and we ended up with baggage on the wrong ticket so had to pay extra. and don't get me started on their customer service helpline. on board the staff are ok but on the long cairo-london route they spend most of their time on a break where they use the back row or two and talk loudly without any consideration for the passengers. and for the flyers who don't want the hassle of charges, minimal cabin service, and budget seats, then they could easily provide a 'premium economy' option  and really make a difference for the experience. heathrow terminal 5 compounds the poor experience, especially for arrivals. it is also poorly served by transport links - especially for those of us who live near gatwick which is being abandoned by ba. i have been a frequent flyer for many years - and was even a ba gold card holder at one point - so i know about the potential experience. i used be able to make the choice - do i fly budget, or do i fly more comfortably for more? now it's a case of flying budget, or flying budget for double the price with ba.",2023-06-29,June,2023,2.0
298,"""stated it is not their fault""","after travelling london to madrid with british airways, then with iberia from madrid to lima and latam to cuzco, my luggage arrived 7 days after me. when attempting to collect my luggage, mine was the only one not to arrive. i sought help and was informed to make a claim online. when my bag finally arrived 7 days later, the lock had been forced open and everything inside the case searched. someone emptied my 1st aid kit and toiletries and threw my clothing about, i felt violated. i have been treated appallingly from start to finish. for a month, i have been back and forth to british airways, yet they stated it is not their fault.",2023-06-27,June,2023,1.0
299,"""luggage was mis-tagged in Dallas""","my luggage was mis-tagged in dallas on my way to cairo via london. my luggage arrived at lhr as planned on saturday 6/24. however, upon arrival due to the luggage being mis-tagged and having the incorrect name on my luggage, it was never sent to cairo. its sitting in terminal 3 in lhr (i have an air tag on my luggage) and british airways is saying there is nothing they can do about it. i have filed 3 claims, made 13 phone calls, have been hung up on 3x and as simple as it is to solve this problem the workers at ba refuse to solve the problem.",2023-06-27,June,2023,1.0
300,"""The airline lost my luggage""","the airline lost my luggage and was absolutely awful throughout the entire trip. they gave me no updates, their website sucks, and it was nearly impossible to get someone on the phone. they finally delivered my luggage to my hotel after i had left to go back to the us, 5 days after i told them to ship it back to the us. now, i’ve been calling everyday begging them to get my bag back to me. they appease me on the phone, tell me they’re fixing it, but nothing changes. the hotel can’t get in touch with them and they haven’t even tried to pick to bag back up. several times, when i called i got a message saying they were not answering due to too many complaints and calls and to “call back later”.",2023-06-25,June,2023,1.0
301,"""fully refunded by our travel insurance""","we booked on the ba website, round trip flights from seattle to amman with a stop in london, in business class. our first flight was delayed and then diverted to nyc, and enroute my husband experienced a medical emergency. when we landed in nyc we were taken to a hospital and i stayed in constant contact with the airline agent who had arranged for the ambulance transfer. the same evening we flew back home, confirming cancellation of all remaining flights with the agent at the airport. for the next several weeks, we spoke many times with ba customer service, trying to obtain some kind of refund — we were met with contradictory explanations, excuses and an absence of meaningful customer service. we discovered we had been marked as “no-shows” for our flight to amman and that our return flight was still active. we were unable to cancel the return on the website, despite booking on the website. our phone calls were never returned, we spent a minimum of 40-60 minutes on hold for every phone call we made, our emails received only canned replies without answers or explanations, we were told it was “not possible” to receive a copy of the ticketing rules and regulations nor to speak with a supervisor, and after several weeks of this abysmal customer service i filed a complaint with the faa. in response to my complaint i received an email from ba customer service explaining that they had reviewed my many requests for a “full refund” but that could not be accommodated due to the ticketing rules. they would issue flight credits - except for the portion for which we no-showed. they did not state how many credits. we never once asked for a full refund - we asked to read the rules and to receive a partial refund. we will not use the credits - we were fully refunded by our travel insurance.",2023-06-25,June,2023,1.0
302,"""no boarding drinks provided""","first time flying with ba business class, never again. there are no boarding drinks provided. my meal quality was below business class standards as was the quality of the wine. on arrival at bodrum my bags were among the last to appear. not looking forward to the same chaos on the return flight.",2023-06-25,June,2023,2.0
303,"""WiFi didn't work""","you can buy sandwiches and crisps but don't expect a hot meal. because the plane is a narrow body , there are no screens. not helping matters is the fact that the ba prebooking shop for food didn't recognise the flight number, and the onboard  wifi didn't work.",2023-06-24,June,2023,4.0
304,"""stick with economy""","this is a two-for-one review covering economy and business class on the ba flight from london city to ibiza. economy was excellent. a very light lunch (small cheese-and-pastrami sandwich, chocolate brownie) followed by a pretty much free-flowing drinks trolley. the flight was full but the crew worked hard and did a very good job. this is a flight i would recommend. except, don't fall for the last minute offer for an upgrade to business for £100+ in each direction, as i did. (i flew economy out and business back, while my brother flew business, then economy.) the business seats are identical to economy, with no seats blocked, so you are squished in four abreast. the meals are almost identical, with minor tweaks such as a yoghurt for your £100. the only real plus is champagne. but on my flight, there was none because of ""supply issues"". the cabin attendant (i think his name was tom) must be one of the best in the business. i didn't eat, so i paid £100 for nothing. oh well. so great flight but stick with economy.",2023-06-24,June,2023,7.0
305,"""Communication is terrible""","absolutely horrible airline. communication is terrible. last minute delays, cancellations, seat changes with no communication. app and website user experience is years behind other airlines. seats are cramped and uncomfortable. overpriced. would not fly again.",2023-06-23,June,2023,1.0
306,"""delays and cancellations""","having experienced delays and cancellations departing from usa to europe and now a 3.5 hour estimated delay at lhr heading back to usa, i would warn travelers that ba has become unreliable and is now on my “do not fly” list until they get better organized.",2023-06-22,June,2023,1.0
307,"""Economy class seating was truly dreadful""","travelled to heathrow to kalamata and return journey 11 days later. world traveller (aka economy) class. both flights departed on time. return flight landed early - but - we then had a 1 1/4 hour wait for the baggage to be offloaded which rather ruined the journey home as we then caught a motorway closure. flights ok - fa's (particularly on return flight) pleasant enough. but, as usual, economy class seating was truly dreadful - no legroom at all. no better in club class either - only the middle seat left free. marked down because of this. can only recommend if you are not tall.",2023-06-20,June,2023,7.0
308,"""flight failed at every level""",this flight failed at every level. we were delayed and arrived at our destination late so that our prepaid car transfer phoned to advise us that he could only wait another 10 minutes for us but this was a ba holiday. we pre ordered food for our flight and this was never loaded onto our flight and to finally compound british airways complete and utter uselessness our luggage was still in heathrow. as there is no flight tomorrow the earliest this luggage could possible arrive is very late on wednesday evening. having only the clothes that you flew in and reading you can only claim for toiletries and underwear seems to be the antithesis of a happy holiday. i might have expected a complimentary scone in lieu of no food but no we were told that we could purchase from the trolley what they had available. i would like to make it clear that we are british airways bronze level holders which as we have been long retired shows how we have used this airline historically.,2023-06-20,June,2023,1.0
309,"""BA refuses to make it right""","beware of british airways and their marketing to make you believe that they are full of class and level above the rest. they won't treat you that way when you get bumped from a flight and it is their responsibility to compensate you for their mistakes. we recently had a trip home planned from mrs to sea. a mechanical issue meant that we departed late from mrs to lhr where we needed to make a connecting flight. we landed with plenty of time to make it to our next gate, but a series of issues and choices by british airways kept us from boarding our next plane. the crew did not let off passengers with connecting flights first nor did they hold the next flight for a mere 5-10 minutes for passengers to make connections on their airlines. plus, we discovered that we had actually been bumped off our next flight before we even landed. we were pushed to virgin atlantic to figure out how to get us home. it extended our travel day by 8 hours! we were traveling with children as well. no offers of compensation or upgrades were made. and now ba is refusing to provide us any financial compensation. we paid for a trip home with only one connection and instead had two connections, multiple airlines to deal with, security through an extra airport with kids for a midnight flight we were never planning on. that is not what we paid for but ba refuses to make it right. so beware potential travelers!",2023-06-19,June,2023,1.0
310,"""shame for such well known airline""",i flew from cairo to heathrow on what they call euro club class which is a cramped coach seat with the middle empty seat. horrible service. i get to heathrow airport 40 minutes late so i had to run around looking for my connecting flight. finally jumping through escalators and train to another building where is my gate. given a seat that is different than what i paid extra for ?! it’s a shame for such well known airline.,2023-06-19,June,2023,2.0
311,"""Total garbage""","i flew with numerous airlines, but i gotta admit, british airways is by far the worst airline ever when it comes to customer support. i waited 3 weeks for a ticket change. call center workers are giving you false information just so they would make you hang up. they told me i was supposed to get an email from them with the flight changes, but never got. they don't have a live chat just like american airlines do, they don't have a online form to submit your questions, they don t have a working international number. total garbage.",2023-06-16,June,2023,1.0
312,"""arrived at the airport only 1 hour before""","we were traveling as a family (5 people). because of an accident by the airport, we arrived at the airport only 1 hour before the flight. the kiosk was unable to read one of our passports and we had to go to check-in. the lady at the check-in checked the passport and gave us a boarding pass. because we had no extra time, we headed straight to security and didn’t realize the lady gave us a duplicated boarding pass (not of the passport holder). we got stuck in security because of that, couldn’t figure out what was wrong. we only didn’t miss the flight because we ran through the airport with a 70 year old and a 9 year old included in the party. the staff at the gate was very cordial and helpful once we arrived there.",2023-06-13,June,2023,3.0
313,"""so callous and uncaring""",flight at 8.40am from dub to lcy cancelled 1155pm night before. no text message. no phone. waiting at bus stop and randomly checked email to see alternate flight option. hang on? what’s this! it was dark at 5am. it was hard to see mobile phone screen. i’m still jet lagged. only option was to lhr at 9.20am. tried calling. no one there. so accepted it. but i didn’t see the day change! it was the next day! i didn’t want the flight (as was staying at docklands hence choosing lcy but thought i better take it as it’s leaving an hour after the original flight. nope. i better call to say hey sorry i screwed up. your flight is not going to work for me. i don’t have any more accommodation in dublin and i don’t want to waste one night in london. called. the most surly customer service (can you even be called that when you treat people like this) answered. she kept calling me james (not my name). she was brutal. you accepted it. i can’t do anything. she basically made me feel like a moron because in a moment of confusion i accepted the first available flight from the stupid supercomputer. she kept telling me about the algorithm and this was the flight that was chosen. but if you had called us we could have put you onto a aer lingus flight! why didn’t you call? you are at fault. just so callous and uncaring. she wanted to charge me 600 pounds in new flights and change fees. i said nope and booked a flight today with ryanair. plus i need to find my way from gatwick to docklands. more money from me because of ba’s utter contempt for their passengers. i’ve been flying qantas for 25 years and they can do some funky stuff. but never this level of cruelty because of one simple error. never again. how do people accept such utter contempt and ineptitude? welcome to the u.k.! just wow.,2023-06-12,June,2023,1.0
314,"""uncomfy old planes""",terrible. i have traveled twice with them this year via business class and they have been significantly delayed or cancellations with connecting flights. the customer service or complete lack of it is appalling and has forced me to change credit cards as i no longer intend to use ba for any further flights. terrible uncomfy old planes and miserable staff.,2023-06-11,June,2023,1.0
315,"""never fly British Airway ever again""",the customer service is ugly. tried calling two weeks ago but still had problems with flight. all i get is someone in india. i thought i was flying iberia once i looked close at ticket it was british airways. will never fly british airway ever again.,2023-06-11,June,2023,1.0
316,"""Most uncomfortable flight""","most uncomfortable flight i have ever experienced. it's a long time since i have flown long-haul, the cramped conditions were awful. the rows were so close together when the person in front reclined their seat my tv was so close i couldn't focus on it.  ba seem to want to make economy so uncomfortable to encourage customers to upgrade, this has not worked on me, i will avoid flying ba in future. my onward flight was with latam, same 787 aircraft but more room between rows, far more comfortable. on the return flight from santiago the lights were turned down at 8pm, i feel the cabin crew do this to avoid providing a service, they just disappear behind the curtains.",2023-06-10,June,2023,3.0
317,"""I will never fly British Airways again""","i booked our first out of country trip to take my husband on a surprise trip to monaco. i gave us over 3 hours for our connecting flight to and from home through heathrow. our flight left seattle an hour late causing us to miss our connecting flight. we were rescheduled before we even landed. they booked us on a flight 7 hours later and offered no food tickets or any other type of reimbursement. additionally we sat in their customer service line for an hour and a half to see if they could rebook us on an earlier flight, to watch them continually assist other customers that walked up outside of the queue (no earlier flights were available). when we arrived in nice, france the airport was closed, including the rental car desk. we were not offered any assistance from the airline on a room or other accommodation for the night. we found a cab, which cost us 85 euros one one to get to our hotel. we thought there is no way something like this could happen on the way home….we were wrong. our flight from nice to heathrow was 30 minutes late, with a 2.5 hour layover you would think we should still make our flight, unfortunately long security lines caused over 1.5 hr further delay. when arriving ba closed the doors and said they could not hold the plane any longer despite arriving 15mins before departure. after running through the heathrow airport and going through security again. they sent us back to the customer service queue, where the first statement was we can’t get you out until tomorrow. after begging they found us a flight on another airline. at that time we were told our bags were transferred to our flight with delta. we were given 8 pounds each for snacks at the airport for our now additional 5 hour delay. in total for our trip there and home we spent 13 hours at heathrow airport which our original total layover of 6 hours, and we were offered 8 pound each. unfortunately the drama continues. the two bags that they said made the delta flight, shockingly did not. we were told that we had the file the claim with delta, since the last part of our flight was with them. we have now been home for 5 days and each airline is pointing the finger at the other. as i said to both of them today. i don’t care who’ has my bags figure it out and send me my luggage i don't want your $500 reimbursement per bag, as that doesn’t come close to the memories and stuff that i have in there. i will never fly british airways again, and delta’s baggage people are not doing great either.",2023-06-08,June,2023,1.0
318,"""All in all very disappointing""",my husband and i booked seats within our premium economy booking. on both outward journey ba015 on 12 february and return on 11 march we were last or almost last to be served food. each time they had run out of our choices. on one occasion i did not eat as only available option was curry which disagrees with me. on all flights there appeared to be an undue focus on curry/spicy food. all in all very disappointing and left us with a very poor opinion of british airways.,2023-06-07,June,2023,4.0
319,"""customer service was horrendous""","may 3, flew from seattle to heathrow then to edinburgh. ba lost my golf bag which caused me to purchase golf shoes, club rentals, tees, balls. i had tee times at two courses in st. andrews that took months to make. the promised my bag returned in 24 hours and they would reimburse occurred expenses. i contacted ba and they state they would only reimburse toiletries. then the return flight home was randomly canceled by ba without notifying me or without notice two weeks before the scheduled flight. i contacted the corporate travel team, they informed me ba, canceled my return reservation. they rebooked me on the same flight. ba customer service was horrendous and make false promises. i will never use this airlines again. beware of british airways. they also randomly canceled my girlfriend and her fathers flight and they are both gold members.",2023-06-06,June,2023,1.0
320,"""All flights without exception were delayed""","i went through three flights to reach my destination. all of my ba flights without exception were delayed, both on my way to my destination and back from my destination which is understandable to an extent. what's not understandable is that they weren't prepared for one of the flights and delayed by almost an hour so i ended up missing a flight and for that they rebooked me 24h ahead providing only accommodation which they messed up as well and after 30 hours of traveling i had to wait and hope that the hotel would find an extra room since ba didn't communicate properly with them. i gave ba a chance to correct their mistake by contacting them after the flights but all they did was answer once with a lot of serious complaints that were involved with their flights and all they did was tell me to contact their partners that i had the last flight with, which went smoothly and they had nothing to do with the previously addressed complaints. i contacted them and gave them over a week asking why they didn't address any of my complaints that their partner could have nothing to do with and they just ghosted me. 2/10 for the kind personnel that's holding this airline together though.",2023-06-06,June,2023,2.0
321,"""An excellent flight""","an excellent flight in club world on british airways. the welcome aboard was warm and that continued throughout the flight. the crew were attentive, friendly and very professional. on board food for dinner and breakfast was good and there was a well chosen selection of wines. in flight entertainment offered a great selection of films and audio. the seat/flat bed was very comfortable - british airways have done an excellent job in the design and comfort of the suites on board the a350. i liked the sleek, minimalist design. this flight showed that ba can be among the world’s best airlines.",2023-06-06,June,2023,9.0
322,"""luggage was still in London""","the flight schedule was delayed for one hour. after boarding the plane we were delayed at least another 30 minutes. when we arrived in london, we were delayed again for at least another 30 minutes to find a gate. we were left with 45 minutes only to catch our connecting flight to barcelona, we needed to run and take the train to different terminal to catch our next connecting flight. when we arrived at barcelona airport, we discovered that our check in luggage was still in london. very painful trip (disrupted our vacation). not flying with ba anymore if i can find alternative airlines.",2023-06-05,June,2023,3.0
